"","sentences","name","country","page","languages"
"74","the findings indicate that the rural poor have access to natural resources that contribute a large share of their livelihoods, but accelerating resource degradation and conversion of natural resources into arable land leaves them with ever fewer options to derive income from these resources. furthermore, slow land titling and demarcation in rural areas leave people vulnerable to land grabbing and exclusion from the benefits of common property. findings also indicate that collective action still suffers from the khmer rouge legacy, which destroyed large parts of traditional social networks, including mutual help and religious institutions. forced resettlement and collectivization also reduced peoples willingness to cooperate at a larger extent in agriculture.","pdfs/results/Collective action for poverty reduction/19.txt","8","19","en"
"85","the study shows that mutual help groups, religious activities, and small-scale associations are gaining ground. however, the poor lack confidence to take part in those associations and are sometimes unable to use the services offered. in addition, collective action to secure natural resources does not yet address ongoing resource degradation adequately. formal, legally backed institutions lack local recognition and are unable to enforce rules set to protect the resources. villages that manage their resources following traditional principles tend to cooperate better across village boundaries and are thus more successful in natural resource management. nevertheless, they too are unable to protect them against outside interventions. low degrees of trust also contribute to low degrees of cooperation in natural resource management. ","pdfs/results/Collective action for poverty reduction/19.txt","8","19","en"
"96","for a country disrupted for decades by war, genocide, and forced collectivization, it is not surprising that neither property rights systems nor collective action yet fulfill the expectations of research institutions, civil society organizations, or donors.","pdfs/results/Collective action for poverty reduction/19.txt","8","19","en"
"119","contact capri to request a publication, or to order a cd-rom with publications, project inventory, and bibliography, please email capri@cgiar.org.","pdfs/results/Collective action for poverty reduction/2.txt","8","2","en"
"21","copyright september 200 7. international food policy research institute. all rights reserved. to request permission to reprint, contact ifpri-copyright@cgiar.org.","pdfs/results/Collective action for poverty reduction/2.txt","8","2","en"
"26","in rural cambodia, natural resources such as local forests, fish ponds, lakes, water streams, or harvested fields are usually commonly owned and managed. this makes effective collective action a precondition for sustainable resource management as well as income generation for the rural poor. for a country disrupted for decades by war, genocide, and forced collectivization, and which is still characterized by fragile government institutions, it is not surprising that neither property rights systems nor collective action yet fulfill the expectations of research institutions, civil society organizations, or donors.","pdfs/results/Collective action for poverty reduction/20.txt","8","20","en"
"35","under cambodians devolution policies, important monitoring and enforcement mechanisms executed by weak local government authority are removed abruptly after responsibility is handed over to local forest or fishery community organizations. yet these communities are neither officially acknowledged by the government nor able to execute all the responsibilities assigned to them. the institutional vacuum that emerges does not favor of the poor. ","pdfs/results/Collective action for poverty reduction/20.txt","8","20","en"
"48","for formal institutions to efficiently manage the local commons, the content, procedures, and sequencing to formulate and enforce laws and statutes integrating both guiding principles of a devolving state and traditional local rules, and enforcement mechanisms should be given more consideration. an important first step will be to reduce uncertainties about village or commune boundaries, and procedures to be taken in case of violation of rules. enforcement will only work at the interface of established informal and newly developed formal institutions if administrative procedures are transparent and there is final recourse to the judiciary. ","pdfs/results/Collective action for poverty reduction/20.txt","8","20","en"
"57","for the rural poor, participation in organizations that foster collective action and govern the commons is costly activities are time consuming, direct compensation cannot be expected, and unbalanced reciprocity often does not work. although the poor profit most from protecting their local commons, they are not necessarily able to defend their interests effectively within village organizations. they remain dependent on the more affluent to initiate and continue cooperation. as the poor often have no formal education, a weak human capital base, and very little land, they are less likely to get involved in formalized groups, especially those that have been externally established to support agricultural activities.","pdfs/results/Collective action for poverty reduction/20.txt","8","20","en"
"75","the poor do participate in informal village groups and gatherings, though, and this is an entry point for further cooperation. however, empirical results show that they are more likely to comply with rules and mechanisms than to take deliberate action to shape and defend them. complementary to this, the role of religious festivities and buddhist values and norms needs further consideration. jointly exercised religious activities provide an instrument to enhance cooperation in and between villages, and are explicitly used by political entrepreneurs and local leaders as a means to protect natural capital and to contribute to social cohesion and trust. ","pdfs/results/Collective action for poverty reduction/20.txt","8","20","en"
"86","building on religious initiatives and the overall imperative of harmony, people start to communicate experiences where collective action had once been successful to protect their interests. they do not actively protest and demonstrate but formulate petitions and memorandums to raise awareness of their problems, address conflicts, and ask for external support. these activities should be regarded as a starting point for collective action to protect property rights and to make use of a reformed property rights system that allows for new forms of collective action to combat poverty.","pdfs/results/Collective action for poverty reduction/20.txt","8","20","en"
"120","this case-study presents a participatory action research par approach to analyzing decentralized forestry and natural resource management and land property rights issues, and catalyzing collective action among villages and district governments. the study focuses on understanding the current policies governing local peoples access to property rights and decision making processes, and learning how collective action among community groups and interaction among stakeholders can enhance local peoples rights over lands, resources, and policy processes for development. ","pdfs/results/Collective action for poverty reduction/21.txt","8","21","en"
"27","the authors applied par in two villages, one each in the bingo and tanbark districts of jamb province sumatra to facilitate identification of priorities through phases of planning, action, monitoring, and reflection. par also helped participants decide what needed to be assessed, design further steps, and collect necessary information. ","pdfs/results/Collective action for poverty reduction/21.txt","8","21","en"
"36","villages were selected based on their relatively strong kinship ties, medium levels of conflict between villagers and outside actors, high poverty levels, and proximity to national parks and forestlands. villagers derived their incomes from small-scale rubber gardens, off-farm labor, timber and logging, and non-timber forest products. production forest, protection forest, and national park are considered by the local community to be part of their traditional territory. ","pdfs/results/Collective action for poverty reduction/21.txt","8","21","en"
"49","before 199 8, management of natural resources, including forestry, was characterized by strong control by the central government. in 200 1, a new law gave districts greater autonomy to formulate their own policies and exert control over resources. the policy was intended to improve local peoples management of and access to resources, but it was withdrawn in 200 2 due to environmental degradation, failure to provide benefits to local people, and an uncertain business climate. in 200 4, the government issued a law that clarified shared authority and re-instituted the hierarchy between central and district governments for dealing with various governance issues. however, struggles over power in the forestry sector continue.","pdfs/results/Collective action for poverty reduction/21.txt","8","21","en"
"69","there were no marked differences between the two districts in how they responded to the government policies and how they dealt with property rights and collective action. both shared concerns over growing needs for more lands for development and clarifying property rights for local people, encouraging them to propose forestlands conversions to the ministry. however, ngos and others have contributed to shaping local policies. for example, in one village, such interaction has contributed to internalizing principles of transparency, openness, and participation. ","pdfs/results/Collective action for poverty reduction/21.txt","8","21","en"
"76","local forest people expressed a strong need to secure their traditional farmlands and rubber gardens, whether outside or inside forestlands. lands outside can be readily secured, but people may need to pay and wait for some time before obtaining such rights, and only a few go through this process. the central government has delegated to district offices affairs related to management and administration of lands outside forestlands and to educating people about the importance of legal security over lands. efforts to secure lands for local people, whether within or outside state claimed forestlands, face a complicated procedure. ","pdfs/results/Collective action for poverty reduction/21.txt","8","21","en"
"87","local land tenure insecurity is due to governmental frameworks that ignore the needs of forest-dependent people. some regulations and ministerial decrees, for example, favor large-scale investment. some national level regulations gave local groups or cooperatives the right to manage or use limited amounts of forest, but their implementation has been problematic. ","pdfs/results/Collective action for poverty reduction/21.txt","8","21","en"
"97","the government is currently embarking on new policies to promote property rights for local communities and the poor. while the programs offer opportunities for communities to engage in collective action and improve their wellbeing, questions remain as to whether their implementation will truly secure property rights and promote genuine collective action or benefit poor communities.","pdfs/results/Collective action for poverty reduction/21.txt","8","21","en"
"104","the role of collective action in securing property rights for the poor a case study in jamb province, indonesia her komarudin, juliana l. siagian, and carol j. pierce colder with neldysavrino, yentirizal, syamsuddin, and eddy irawan","pdfs/results/Collective action for poverty reduction/21.txt","8","21","en"
"28","trust and clearly delineated authority lead to effective collaboration among groups managing natural resources. in this study, trust developed through the creation of a mechanism wherein people could share their concerns openly and regularly. this led to improved understanding of local problems and willingness to work toward resolving land-use planning issues. government officials also became more likely to abide by laws when a clear division of authority was laid out in the legislation. however, centrally designed legislation was only effective when developed and agreed upon by the various levels together.","pdfs/results/Collective action for poverty reduction/22.txt","8","22","en"
"410","most participants agreed that individual group members have strong motivation to work collectively. womens groups emphasized trust as an important factor in deciding to join a group. they considered trust and honesty crucial for a group to be strong and to reach common goals, build effective leadership, and sustain group cohesion. a sense of trust within groups made members more optimistic about reaching common goals. ","pdfs/results/Collective action for poverty reduction/22.txt","8","22","en"
"610","at higher levels of governance, some agencies applied pressure to assure prioritization of their programs and district development plans, resulting in fewer chances for funds to be allocated to needier parties. for example, one village head whose role should have been to mediate between the parties asked a group of farmers to pay a fee to him for the sale of their lands to a palm oil company. the group members united, stuck to their commitment not to sell land individually, and refused to pay the fee to the village head. they also used various means to overcome the village heads inappropriate behaviors, for example, by sending complaints to the subdistrict. by building relations with outsiders, making the misconduct obvious, and thereby forcing concerned elites to stop their actions, the group avoided elite capture.","pdfs/results/Collective action for poverty reduction/22.txt","8","22","en"
"88","at the district level, the authors worked with officials to clarify areas of expertise and resource management options, and to improve both transparency and accountability. however, actual policy changes were modest primarily increased willingness to work with district partners to resolve outstanding issues of forestland reallocation. efforts to strengthen civil society as a means to contribute to policy formulation and more seriously monitor government have also been important for identifying and strengthening mechanisms for accountability. facilitated community groups have shown the capacity to participate in decisionmaking for development, build alliances and networks, and reduce elite capture. however, it is also necessary to network with more powerful stakeholders to accomplish goals like more equitable access to land, preventing elite capture, increasing incomes, and improving womens status.","pdfs/results/Collective action for poverty reduction/22.txt","8","22","en"
"105","this study concludes that action research may be an effective strategy for fostering collective action and maintaining the learning process that leads groups to be more organized and cohesive, and district government officials to be more receptive to stakeholders. ","pdfs/results/Collective action for poverty reduction/22.txt","8","22","en"
"1110"," it is possible to catalyze collective action and strengthen local self-confidence and capabilities to interact with more powerful outsiders, negotiate effectively, and bring pressure to reduce elite capture of local benefits.","pdfs/results/Collective action for poverty reduction/22.txt","8","22","en"
"123"," the differences within and between communities are vast, and participatory action research within comparatively homogeneous groups is one way to accommodate this diversity in local planning. by focusing on what communities can and want to do, a climate of confidence is built that can contribute to successful development and conservation outcomes.","pdfs/results/Collective action for poverty reduction/22.txt","8","22","en"
"133"," participatory action research with government officials can build their willingness to listen to a wider variety of stakeholders and increase their respect for local community input and willingness and ability to manage adaptively and equitably.","pdfs/results/Collective action for poverty reduction/22.txt","8","22","en"
"152"," when implementing development programs, work with strongly motivated and already existing community groups, wherever possible. provide local groups with access to networks of information and institutions.","pdfs/results/Collective action for poverty reduction/22.txt","8","22","en"
"161"," invest more to support monitoring and supervision activities, and promote transparent and participatory forums for deliberations.","pdfs/results/Collective action for poverty reduction/22.txt","8","22","en"
"124","capri is an initiative of the 1 5 centers that belong to the consultative group on international agricultural research. capri fosters research and promotes collaboration on institutional aspects of natural resource management between cgiar centers and national agricultural research institutes. capri contributes to policies and practices that reduce rural poverty by analyzing and disseminating knowledge on ways that collective action and property rights institutions influence the efficiency, equity, and sustainability of natural resource use. its secretariat is hosted to request a publication, or to order a cd-rom of capri publications, project inventory, and bibliography, please contact capri.","pdfs/results/Collective action for poverty reduction/24.txt","8","24","en"
"29","poverty reduction is at the forefront of global discussions, with various parties urgently pushing for policies and programs to enhance the well-being of the worlds one billion poor. but a better understanding of the manifestations of poverty and the factors affecting it is required in order to inform these global policy efforts. ","pdfs/results/Collective action for poverty reduction/3.txt","8","3","en"
"37","the united nations office of the high commission for human rights defines poverty as a human condition characterized by the sustained or chronic deprivation of the resources, capabilities, choices, security and power necessary for the enjoyment of an adequate standard of living and other civil, cultural, economic, political and social rights. property rights are part and parcel of economic rights and entitlements, and collective action enhances peoples choices, capabilities, and power. but many rural poor do not have secure property rights and cannot participate in collective action due to resource and time constraints. therefore, strengthening the institutions of property rights and collective action is an essential part of improving the livelihoods of vulnerable and marginalized rural groups, including women.","pdfs/results/Collective action for poverty reduction/3.txt","8","3","en"
"411","secure property rights are a key poverty-reducing mechanism because they provide the rural poor not only with present-day income streams, but also with incentives to invest in productive technologies and sustainable management of resources in the future. however, many government programs have been implemented without an understanding of the complexity of property rights and have actually reduced tenure security for poor and marginalized groups by allowing elite capture of property, for example. a better understanding of how the poor can protect and expand their access to and control over resources can significantly improve poverty-reduction efforts. ","pdfs/results/Collective action for poverty reduction/3.txt","8","3","en"
"58","there is also a growing recognition of the important role of collective action in poverty reduction. through formal and informal groups, smallholders can work together to overcome limitations of wealth, farm size, and bargaining power. collective action is also needed to adopt many technologies and natural resource management practices that operate at the landscape level. in addition, collective action can contribute to poverty reduction through mutual insurance, sustainable management of natural resources, increased opportunities for income generation, and improved provision and access to public services. as with property rights, vulnerable and marginalized groups are often at a disadvantage when it comes to collective action, either because of social exclusion, lack of time to participate in meetings and activities, lack of education and confidence to speak in meetings, and domination by local elites. ","pdfs/results/Collective action for poverty reduction/3.txt","8","3","en"
"77","to examine the role of the institutions of collective action and property rights on poverty reduction, the system wide program on collective action and property rights capri of the consultative group on international agricultural research cgiar undertook a global research project with study sites in ethiopia, kenya, uganda, indonesia, india, cambodia, and the philippines. the main goal of the project was to contribute to poverty-reduction efforts by identifying effective policies and practices that enhance the ways that collective action and property rights are used to build secure assets and income streams for and by the poor. the project intended to provide policymakers, ngos, and community groups with knowledge of the factors that strengthen the rights of the poor to land and water resources and lead to more effective collective action by the poor. ","pdfs/results/Collective action for poverty reduction/3.txt","8","3","en"
"89","four cgiar centers and two german universities conducted empirical research on the role of collective action and property rights for disadvantaged groups. the briefs in this set represent the case studies that were part of the project. the case studies rely on a variety of research methods, including qualitative and quantitative approaches, participatory action research, and experimental games. they also cover a variety of contexts within africa and asia, which will allow policymakers, researchers, and practitioners to further examine what constitutes poverty and affects the welfare of the poor between and within countries, and to draw comparisons. ","pdfs/results/Collective action for poverty reduction/3.txt","8","3","en"
"134","the project addressed a range of themes relevant to poverty-related policies and programs as well as collective action and property rights, such as  risk and vulnerability to shocks,  natural resource governance and access to resources,  conflict and post-conflict development, and  market access for smallholders.","pdfs/results/Collective action for poverty reduction/3.txt","8","3","en"
"210","each case demonstrated the central role that various institutional arrangements play in all these poverty-related areas. the findings showed that institutions especially collective action and property rights are important for the livelihoods of the poor, but require an enabling environment to be effective in reducing poverty. specific findings include  successful collective action can ensure equitable natural resource management, but in many cases requires vertical cooperation among stakeholders at different levels communities, the government, and the private sector.","pdfs/results/Collective action for poverty reduction/4.txt","8","4","en"
"38"," collective action around natural resource management can serve as a catalyst for income-generating activities and a gateway for participation in policy processes.","pdfs/results/Collective action for poverty reduction/4.txt","8","4","en"
"412"," shocks play a significant role in the livelihoods of the poor. local networks and associations can help mitigate idiosyncratic shocks that affect individual households, such as illness, but they are less effective with respect to covariate shocks such as drought, which affect all households in a community.","pdfs/results/Collective action for poverty reduction/4.txt","8","4","en"
"59"," a lack of clarity regarding property rights results in extensive conflict among groups, resulting in the break down of trust and cooperation.","pdfs/results/Collective action for poverty reduction/4.txt","8","4","en"
"611"," regardless of the resource under consideration, formalizing property rights can lead to a concentration of rights and benefits among certain users over others, as well as to exclusion and changes in land use toward less compatible uses all of which threaten the welfare of those who are excluded.","pdfs/results/Collective action for poverty reduction/4.txt","8","4","en"
"78"," collective action can be a useful mechanism with which to clarify and secure property rights.","pdfs/results/Collective action for poverty reduction/4.txt","8","4","en"
"810","the findings show that while collective action and property rights have the potential to reduce poverty, they are often biased against the poor. however, the case studies also suggest interventions that can redress these problems so that collective action and property rights institutions can more effectively contribute to poverty reduction. overall, the case studies highlighted the multiple dimensions of poverty and the need to take a multidisciplinary approach to studying it in order to better inform policies and programs aimed at improving the well-being of the poor. ","pdfs/results/Collective action for poverty reduction/4.txt","8","4","en"
"39","collective action has intrinsic value. being part of a group and participating in meeting common objectives provide direct benefits to individuals. in addition, collective action has instrumental value; it can help individuals, groups, and communities achieve common goals. this latter aspect of collective action is the focus of this study. drawing on longitudinal household and qualitative community data, the authors examine the impact of shocks on household living standards, study the correlates of participation in groups and formal and informal networks, and discuss the relationship of networks with access to other forms of capital. in this context, they assess how one form of collective action, iddir, or burial societies, help households attenuate the impact of illness, and make some policy recommendations. the data are from the ethiopia rural household survey erhs, a unique longitudinal household data set covering households in 1 5 areas of rural ethiopia. data collection began in 198 9 and was expanded and re-randomized in 199 4 to yield a sample of 1,47 7 households that are broadly representative of the population shares in ethiopias three main sedentary farming systems. survey rounds continued through 200 4 and were supplemented with qualitative data gathered separately. the surveys revealed that these households are very poor, with mean incomes about 3 6 percent below the poverty line, and that agriculture provides the dominant source about two thirds of income.","pdfs/results/Collective action for poverty reduction/5.txt","8","5","en"
"98","few household characteristics are associated with the likelihood that a household has at least one person in its network. however, being wealthier in terms of landholdings is associated with having a larger network. larger households and households where the head has any formal schooling also have larger networks. family background also plays a role having a parent or relative with important social or political positions in the village, or a father who belonged to an iddir, increase the mean number of persons in a households network.","pdfs/results/Collective action for poverty reduction/5.txt","8","5","en"
"125","and fees. in addition to the death benefit, a third of iddir provide cash payouts to members when they have experienced other types of adverse shocks, such as drought and illness, and a quarter offer loans. two questions arise does provision of assistance when illness shocks occur reduce their impact on consumption? and if yes, how do iddir overcome problems of moral hazard and adverse selection that typically bedevil insurance schemes? ","pdfs/results/Collective action for poverty reduction/6.txt","8","6","en"
"211","to answer these questions, the authors used a restricted sample of villages where iddir that provide health insurance are present and other villages where they are not present. illness shocks reported by poor households in villages where no iddir provide health insurance are associated with a large reduction in per capita consumption. by contrast, the impact of illness shocks on poor households in villages where iddir do provide health insurance is not statistically significant. ","pdfs/results/Collective action for poverty reduction/6.txt","8","6","en"
"310","enumerators then identified 3 3 insurance-providing iddir and asked members to discuss how the scheme worked. they found that most impose some sort of restriction, the most common of which is geographic members must live in the same peasant association pa. other common restrictions include belonging to the same church or mosque or being a woman. the feature uniting these shared characteristics is how they address the problem of asymmetric information. restricting membership geographically makes it easier to learn about members and monitor their behavior. the same is true about the requirement for common church or mosque membership. direct medical costs are observable. for example, one iddir reported that if a member takes the money for medication and does not go to clinichospital, he will be asked to return the money. about a third of the iddir surveyed stated that they had formal checks in place to make sure funds were spent on medical costs. second, a considerable number of iddir conducted background checks prior to approving a grant or loan visiting the member at home or asking neighbors to confirm that assistance was needed. ","pdfs/results/Collective action for poverty reduction/6.txt","8","6","en"
"413","these methods do not, however, address adverse selection the possibility that individuals who anticipate having to incur medical expenses in the future would join with the express purpose of accessing funds held by the iddir. while iddir do not prevent this directly, the imposition of a membership fee for new members discourages such behavior.","pdfs/results/Collective action for poverty reduction/6.txt","8","6","en"
"510","in addition to these mechanisms for dealing with informational asymmetries, iddir take a number of steps to reduce the likelihood that the provision of health insurance will lead to financial difficulties for the iddir. one is the considerable variation in ages of iddir members, which in effect spreads risk across generations young members contribute while older members are more likely to have age-related illnesses. another observation consistent with this argument is that youth-only iddir are less likely to provide health insurance. a second mechanism is size the likelihood of providing assistance with iddir decreased with the size of the membership. third is that the amount of money provided to members is tied fairly tightly to the amount collected. the median cash grant provides an amount equal to one months income, and the maximum cash grant is slightly more than two months income. loans as a ratio of monthly income tend to be higher than cash grants, but about 7 5 percent require repayment within three months. in addition, most impose sanctions if members do not repay. ","pdfs/results/Collective action for poverty reduction/6.txt","8","6","en"
"79","this study suggests that realism is needed in assessing the pro-poor benefits of support to collective action. because wealthier and better-educated households tend to participate more in groups and have larger networks, we need to pay more attention to identifying barriers that prevent other segments of the population from participating in collective action. realism is also needed in terms of the ability of collective action to respond to shocks. specifically, where households have limited ability to develop spatial networks, collective action has limited ability to respond to covariate shocks. direct public action is more appropriate in this area. ","pdfs/results/Collective action for poverty reduction/6.txt","8","6","en"
"811","collective action may be more suitable for providing an insurance function in response to idiosyncratic shocks. public action and policy that supports forms of collective action in this area must recognize, as exemplified by the iddirs, that successful collective action is based on norms of trust and reciprocity. as trust is easier to destroy than create, the principal of do no harm is important here, particularly when government actions are aimed toward existing collective action institutions.","pdfs/results/Collective action for poverty reduction/6.txt","8","6","en"
"106","john shoddiness j.hoddinott@cgiar.org is a deputy division director in the food consumption and nutrition division of the international food policy research institute ifpri","pdfs/results/Collective action for poverty reduction/6.txt","8","6","en"
"311","collective action and vulnerability local and migrant networks in bukidnon, philippines agnes r. quisumbing, scott mcniven, and ramie god quin this study examines the role of groups and networks in helping poor filipinos manage their exposure to risks and cope with shocks. it brings together two strands of literature that examine how social capital affects economic variables and investigate the processes by which social capital formation, participation in networks and groups, and trusting behavior comes about. specifically, the study seeks to understand the shocks rural households face and how the impacts of shocks differ according to household characteristics; characterize the formal and informal groups and networks households join and determine whether exposure to risk encourages membership in such groups; and quantify the returns to membership in formal and informal groups and networks. the data come from a longitudinal study of households in southern bukidnon, a province of northern mindanao. the original 198 48 5 four-round survey investigated the effects of agricultural commercialization on nutrition and household welfare in about 50 0 households. in 200 3, two rounds of quantitative data were collected from 6 1 percent of the original respondents using a survey questionnaire that closely reflected the one used in 198 48 5. in 200 4, 25 7 households formed by children who no longer live in their origin barclays small communities of 5 0 to 10 0 families were interviewed in major urban areas in northern mindanao as well as households in municipality seats and other rural areas of bukidnon.","pdfs/results/Collective action for poverty reduction/7.txt","8","7","en"
"511","drought shocks have the greatest impact on households whose landholdings are below the median land size, households with below median net worth of assets, and surprisingly households with greater than median levels of schooling. death of the head or spouse significantly reduces per capita consumption for households that had land in 198 4 and for households above the median landholding size in 198 4. ","pdfs/results/Collective action for poverty reduction/7.txt","8","7","en"
"612","shortand longer-term impacts also differ across household types. the impact of the 198 78 8 drought was felt most strongly by households with no land in 198 4, households with less than median landholdings and less than median net worth, and households with greater than median schooling. however, more recent drought shocks no longer had significant impacts on consumption, indicating that mechanisms to cope with covariate shocks have improved over time. sudden increases in input prices, however, significantly reduced per capita consumption in both the later and earlier periods. not surprisingly, the burden of input price shocks in both periods was felt by households with more land and assets whose exposure to input shock risk is greater.","pdfs/results/Collective action for poverty reduction/7.txt","8","7","en"
"99","households provided information on 68 9 groups, which were classified into production, credit, burial, religious, and civic groups. membership in groups is widespread, with religious groups the most frequently mentioned and civic groups the least mentioned. households also belong to diverse trust-based networks. seventy-five percent report having a network to turn to in case of economic loss, with the highest asset quartile being the best insured. only 4 8 percent of households report having a network for technology adoption and copying perhaps because farmers rely on the formal extension system. households belonging to the lower asset quartiles belong to fewer groups, as do households further from the town center. households that experienced more negative shocks in the past belong to more groups.","pdfs/results/Collective action for poverty reduction/7.txt","8","7","en"
"107","wealthier households are more likely to take part in productive groups. not surprisingly, households engaged in agricultural or non agricultural production are more likely to be members of productive groups, with being an agricultural producer having a greater marginal impact. the households position in the asset distribution has a significant impact on the probability of joining a credit group, with the second and third asset quartiles significantly less likely to join relative to the wealthiest quartile. both ethnic and educational heterogeneity have a negative impact on participation in credit groups. ","pdfs/results/Collective action for poverty reduction/7.txt","8","7","en"
"1111","burial groups are found in almost all philippine communities. in comparison to production and credit groups, being less wealthy does not pose a significant barrier to participation. participation in burial groups also crosses occupational categories, although ethnic and economic village heterogeneity dampens the desire to join burial groups. compared to production, credit, or burial groups, religious and civic groups do not focus on economic motives. nevertheless, households with more human capital are more likely to participate in such groups. ","pdfs/results/Collective action for poverty reduction/7.txt","8","7","en"
"126","the total number of groups to which a household belongs does not affect the density of its networks, but households with more human and physical capital have larger social networks. there is weak evidence that networks perform a risk-smoothing function, since the number of shocks experienced increases the number of persons that one can turn to for help. interestingly, the number of daughters living outside the villages exerts a strong negative influence on the size of ones local trust-based networks. this result stems from differences in expectations of parental support from sons and daughters. daughters, who are more educated than sons, typically migrate and send remittances to support their parents.","pdfs/results/Collective action for poverty reduction/8.txt","8","8","en"
"312","the total number of groups to which a household belongs has a positive and significant impact on per capita expenditure sand this is true for membership in burial, religious, and civic groups as well. ","pdfs/results/Collective action for poverty reduction/8.txt","8","8","en"
"414","insights from qualitative work among respondent households that experienced covariate and idiosyncratic shocks suggest that local networks have only a limited ability to help households cope, especially in case of a covariate shock. for example, several respondents said they feel embarrassed to ask for help from friends and neighbors. when faced with negative shocks, households use a variety of coping mechanisms, including working harder, relying on help from children who have left home, and borrowing money from informal sources.","pdfs/results/Collective action for poverty reduction/8.txt","8","8","en"
"512","remittances perform an important consumption-smoothing function for parents, with households experiencing more shocks being more likely to receive remittances and in larger amounts. schooling attainment of daughters, but not sons, increases both the probability of receipt and amounts received. while positive shocks to migrant incomes increase both the probability of receipt and amounts received, positive shocks experienced by daughters result in much bigger remittances to parents than shocks experienced by sons. ","pdfs/results/Collective action for poverty reduction/8.txt","8","8","en"
"613","investment in migrant networks has both positive and negative consequences for parents. the number of migrants has significant negative impacts on expenditures on clothing and footwear, family events, alcohol and tobacco, and a weak negative impact on health expenditures. remittances, on the other hand, have significant positive impacts on housing and consumer durables, total value of non land assets, total expenditure per adult equivalent, and other expenditures.","pdfs/results/Collective action for poverty reduction/8.txt","8","8","en"
"710","the finding that accumulation of social capital comes easier to the wealthy is sobering news for development agencies that encourage the poor to invest in social capital because they assume that it is easier to acquire than physical assets. however, participation in less economically oriented groups such as religious, civic, and insurance groups is less closely associated with initial wealth than participation in production and credit groups.","pdfs/results/Collective action for poverty reduction/8.txt","8","8","en"
"812","different aspects of heterogeneity matter in the formation and conduct of collective action institutions. disparities in ethnicity, assets, and education at the village level are likely to discourage the formation of groups, although they do not affect the formation of trust-based networks. thus, external heterogeneity is not necessarily good for social capital formation. however, heterogeneity with respect to location may be important in insurance against covariate shocks. for example, networks of spatially-diversified children especially daughters perform an important insurance function against covariate shocks that may not be achievable by local networks. ","pdfs/results/Collective action for poverty reduction/8.txt","8","8","en"
"910","first, identifying barriers that prevent the poor from participating in collective action is an important task because accumulating social capital does not come easily to the poor. poorer folk often express discomfort at approaching wealthier individuals for help. feelings of discomfort may interfere with efforts to have a more heterogeneous mix of households in groups, but the shame may be tempered if the richer individual is a relative. familial networks therefore play an important role in helping poor people cope with shocks.","pdfs/results/Collective action for poverty reduction/8.txt","8","8","en"
"108","second, covariate shocks are the appropriate arena for public policy because local networks and other forms of collective action have limited effectiveness in dealing with such shocks. even if migrant remittances respond to covariate shocks, substantial time lags may be involved, and not all households in a locality may have access to remittances. ","pdfs/results/Collective action for poverty reduction/8.txt","8","8","en"
"1112","third, certain types of groups and networks may be more effective in providing insurance against some types of idiosyncratic shocks. these tend to be the sort of shocks where, because of information asymmetries, public action may be less effective. public action should therefore take on an enabling role, for example, by facilitating interventions that reduce the costs of remittances or of developing and maintaining family networks. ","pdfs/results/Collective action for poverty reduction/8.txt","8","8","en"
"127","finally, policies to help poor households cope with shocks must take into account filipino social and organizational culture and discourage displacement of already existing indigenous networks.","pdfs/results/Collective action for poverty reduction/8.txt","8","8","en"
"212","market institutions transmit information, mediate transactions, facilitate enforcement of property rights and contracts, and manage competition. they also address market failures that arise due to asymmetric information, high transaction costs, and imperfectly specified property rights. without supporting market institutions, rural markets tend to be thin and imperfect, leading to high marketing and transaction costs. important market players fail to undertake profitable investments, leading to coordination failures that further hinder market functions. associated shocks and market risks also worsen imperfections and transaction failures. institutional innovations that reduce transaction costs and enhance coordination of marketing functions in rural markets such as producer marketing groups pmgs that make use of collective action can help overcome these problems.","pdfs/results/Collective action for poverty reduction/9.txt","8","9","en"
