"","sentences","name","country","page","languages","legible","results"
"531","the developing world presents many similar examples where central government management of fisheries resources is unable to either reduce overfishing or counteract destructive fishing methods.the state often lacks the capacity to enforce property rights and regulations on resource use.","Collective action for sustainable development","8","15","en","The developing world presents many similar examples where central government management of fisheries resources is unable to either reduce overfishing or counteract destructive fishing methods.the state often lacks the capacity to enforce property rights and regulations on resource use.",0.380160525530138
"631","fisheries are complex and interdependent ecological and social systems that require integrated management approaches. the actions of one person or group of users affect the availability of the resource for others. managing such common pool resources requires conscious efforts by a broad range of stakeholders to organize and craft rules enabling equitable and sustainable use of the resources for everyone benefit. collective action is often a prerequisite for the development of community based institutions and the devolution of authority that is required from central to local authorities.","Collective action for sustainable development","8","15","en","Fisheries are complex and interdependent ecological and social systems that require integrated management approaches. The actions of one person or group of users affect the availability of the resource for others. Managing such common pool resources requires conscious efforts by a broad range of stakeholders to organize and craft rules enabling equitable and sustainable use of the resources for everyone benefit. Collective action is often a prerequisite for the development of community-based institutions and the devolution of authority that is required from central to local authorities.",0.384443209605333
"831","there is extensive evidence that communities can improve the conditions of the shared resources on which they depend. over the past decade, the community of san salvador has organized and established, with the help of government intervention, a marine sanctuary and reserve.an arrangement for community based management of coastal resources fostered collective action by forming and strengthening local organizations.these organizations became responsible for marine resource management and income generating projects, and they reduced overfishing and other destructive practices.a local ordinance banned fishing within the sanctuary and allowed only nondestructive fishing methods in the marine reserve.the local municipal council passed an ordinance providing legal protection for the sanctuary. from 198 8 to 199 6, the average fish catch increased, and living coral cover and the number of coral species doubled.","Collective action for sustainable development","8","15","en","There is extensive evidence that communities can improve the conditions of the shared resources on which they depend. Over the past decade, the community of san salvador has organized and established, with the help of government intervention, a marine sanctuary and reserve.an arrangement for community based management of coastal resources fostered collective action by forming and strengthening local organizations.these organizations became responsible for marine resource management and income-generating projects, and they reduced overfishing and other destructive practices.a local ordinance banned fishing within the sanctuary and allowed only nondestructive fishing methods in the marine reserve.the local municipal council passed an ordinance providing legal protection for the sanctuary. From 1988 to 1996, the average fish catch increased, and living coral cover and the number of coral species doubled.",0.215935970578651
"951","but not all efforts to establish collective action in fisheries are successful. research in bangladesh suggests that the boundaries of the bodies of water, the scale of the resource, and the type of fishery all play a significant role in determining whether efforts to foster collective action succeed. existing property rights also influenced the types of new institutions for collective action that could be established. one community in bangladesh was unable to regulate access to the closed fishing grounds where leaseholders had historically controlled access to and stocking of carp, even after community based fisheries management was introduced and individual leasing was discontinued. only through successful collective action was it possible to protect group rights over individual ones.","Collective action for sustainable development","8","15","en","But not all efforts to establish collective action in fisheries are successful. Research in bangladesh suggests that the boundaries of the bodies of water, the scale of the resource, and the type of fishery all play a significant role in determining whether efforts to foster collective action succeed. Existing property rights also influenced the types of new institutions for collective action that could be established. One community in bangladesh was unable to regulate access to the closed fishing grounds where leaseholders had historically controlled access to and stocking of carp, even after community-based fisheries management was introduced and individual leasing was discontinued. Only through successful collective action was it possible to protect group rights over individual ones.",0.32677008785421
"1221","private, state, or community control each has its own limitations in fisheries management. private ownership often has prohibitively expensive enforcement costs and unequal distributional outcomes. direct state control has high information costs and often lacks monitoring mechanisms, trained personnel, or financial resources. in some cases community control excludes the poorest people from access to a common property resource, increasing inequality. combining state, private, and community control over fisheries in imaginative ways can offer more efficient, equitable, and sustainable management.this combination is often referred to as co management.","Collective action for sustainable development","8","15","en","Private, state, or community control each has its own limitations in fisheries management. Private ownership often has prohibitively expensive enforcement costs and unequal distributional outcomes. Direct state control has high information costs and often lacks monitoring mechanisms, trained personnel, or financial resources. In some cases community control excludes the poorest people from access to a common property resource, increasing inequality. Combining state, private, and community control over fisheries in imaginative ways can offer more efficient, equitable, and sustainable management.this combination is often referred to as co-management.",0.48077935230189
"1314","co management in fisheries involves the active participation and cooperation of government, nongovernmental organizations ngos, organized fishers groups, and other stakeholders in management decisions. it can help build cross institutional collective action. it represents a more democratic governance system than state management because users are more involved in determining the rights over the fishery and in sharing decisionmaking authority. it improves management efficacy by drawing on local knowledge and securing higher compliance with rules.","Collective action for sustainable development","8","15","en","Co-management in fisheries involves the active participation and cooperation of government, nongovernmental organizations ngos, organized fishers groups, and other stakeholders in management decisions. It can help build cross-institutional collective action. It represents a more democratic governance system than state management because users are more involved in determining the rights over the fishery and in sharing decisionmaking authority. It improves management efficacy by drawing on local knowledge and securing higher compliance with rules.",0.374749435601141
"158","fisheries management involves multiple natural and human settings. san miguel bay in the philippines is a multispecies, multiyear bay surrounded by 3 cities and 7 4 coastal villages whose major livelihood is fishing. since the 1980conventional fisheries management problemsoverfishing, distributional inequity, and limited economic opportunities and negative impacts from various coastal and land based sectors have been evident.","Collective action for sustainable development","8","15","en","Fisheries management involves multiple natural and human settings. San miguel bay in the philippines is a multispecies, multiyear bay surrounded by 3 cities and 74 coastal villages whose major livelihood is fishing. Since the 1980conventional fisheries management problemsoverfishing, distributional inequity, and limited economic opportunities and negative impacts from various coastal and land-based sectors have been evident.",0.372043807012896
"168","here in the 1990the world fish center conducted an issuebased, multisectoral, and multidisciplinary analysis including ecological, economic, social, political, and administrative perspectives that led to the production of a coastal environmental profile, a technical report detailing the status of fisheries, and an integrated fisheries management plan.the management plan included financing and monitoring schemes, participatory implementation plans involving diverse organizations and institutional levels, and the establishment of the san miguel bay fisheries management council, composed of provincial and municipal government representatives, ngos, academic institutions, and various local organizations.","Collective action for sustainable development","8","15","en","Here in the 1990the world fish center conducted an issuebased, multisectoral, and multidisciplinary analysis including ecological, economic, social, political, and administrative perspectives that led to the production of a coastal environmental profile, a technical report detailing the status of fisheries, and an integrated fisheries management plan.the management plan included financing and monitoring schemes, participatory implementation plans involving diverse organizations and institutional levels, and the establishment of the san miguel bay fisheries management council, composed of provincial and municipal government representatives, ngos, academic institutions, and various local organizations.",0.297687562752297
"641","collective action can help to empower poor communities, as the example of san salvador island shows. but effective co management requires government to devolve real and substantial rights and responsibilities to representatives of fishing industry organizations or groups of harvesters to achieve sustainable resource management. moreover, devolution of rights is generally not successful without collective action.","Collective action for sustainable development","8","16","en","Collective action can help to empower poor communities, as the example of san salvador island shows. But effective co management requires government to devolve real and substantial rights and responsibilities to representatives of fishing industry organizations or groups of harvesters to achieve sustainable resource management. Moreover, devolution of rights is generally not successful without collective action.",0.331297547865611
"741","for collective action to succeed, governments and fishers should meet to discuss problems and their possible solutions and to develop arrangements for management. fishers should be asked to express their concerns and ideas and be given an opportunity to develop their own organizations, networks, and coalitions.the governments role is to provide legitimacy and accountability for local organizations and help develop collective action institutions such as community based and co management organizations. successful long standing arrangements for marine fishery co management, such as in japan and norway, all have a legal foundation.","Collective action for sustainable development","8","16","en","For collective action to succeed, governments and fishers should meet to discuss problems and their possible solutions and to develop arrangements for management. Fishers should be asked to express their concerns and ideas and be given an opportunity to develop their own organizations, networks, and coalitions.the governments role is to provide legitimacy and accountability for local organizations and help develop collective action institutions such as community-based and co-management organizations. Successful long-standing arrangements for marine fishery co-management, such as in japan and norway, all have a legal foundation.",0.39532817254137
"841","where authorities do not devolve some of their powers, governments can abuse co management arrangements to extend control where it was previously absent. government agencies need to supplement department staffing with new professional skills and develop capacity to deal with co management processes in several communities simultaneously. such changes may require reorienting mindsets both in government organizations and in communities.","Collective action for sustainable development","8","16","en","Where authorities do not devolve some of their powers, governments can abuse co-management arrangements to extend control where it was previously absent. Government agencies need to supplement department staffing with new professional skills and develop capacity to deal with co-management processes in several communities simultaneously. Such changes may require reorienting mindsets both in government organizations and in communities.",0.354169248065041
"1131"," developing co management institutions on a larger scale many of the problems and issues facing fisheries can be solved only on provincial, national, or even international levels. fishery resources are generally too large to be entirely within the control of a few communities. in these cases it is imperative to provide for representation of fishery groups at different levels.","Collective action for sustainable development","8","16","en","Developing co-management institutions on a larger scale many of the problems and issues facing fisheries can be solved only on provincial, national, or even international levels. Fishery resources are generally too large to be entirely within the control of a few communities. In these cases it is imperative to provide for representation of fishery groups at different levels.",0.314082583852086
"1321"," reconciling local and global agendas often international agreements on fisheries and local environmental management contradict each other.the government needs to meet its double obligation of attending to international agreements while sharing decisionmaking power for fisheries management with communities.","Collective action for sustainable development","8","16","en","Reconciling local and global agendas often international agreements on fisheries and local environmental management contradict each other.the government needs to meet its double obligation of attending to international agreements while sharing decisionmaking power for fisheries management with communities.",0.267841885494241
"1410"," identifying a management knowledge base acceptable to stakeholders to maintain scientific validity and achieve wide acceptance, co management systems need to reconcile both formal scientific knowledge and fishers knowledge. one approach may be to identify science based indicators of the status of the resource system that also reflect fishers observations.","Collective action for sustainable development","8","16","en","Identifying a management knowledge base acceptable to stakeholders to maintain scientific validity and achieve wide acceptance, co management systems need to reconcile both formal scientific knowledge and fishers knowledge. One approach may be to identify science-based indicators of the status of the resource system that also reflect fishers observations.",0.292258592618628
"1511"," developing approaches to manage conflicts management arrangements may require access rights to be limited to some resource users and to exclude others, often resulting in conflicts. participatory approaches for managing such conflicts are crucial for successful co management.","Collective action for sustainable development","8","16","en","Developing approaches to manage conflicts management arrangements may require access rights to be limited to some resource users and to exclude others, often resulting in conflicts. Participatory approaches for managing such conflicts are crucial for successful co-management.",0.4402564603719
"1611"," reforming existing institutions to empower local communities to participate in determining management objectives this step may require substantial changes in governmental fisheries management agencies and in stakeholders perceptions of their respective roles.","Collective action for sustainable development","8","16","en","Reforming existing institutions to empower local communities to participate in determining management objectives this step may require substantial changes in governmental fisheries management agencies and in stakeholders perceptions of their respective roles.",0.350358340744855
"171","these issues must be addressed in practical experiments with collective action and co management.the results need to be documented and the experiences communicated to others who may be in the process of establishing or developing collective action capacity among fishers. ","Collective action for sustainable development","8","16","en","These issues must be addressed in practical experiments with collective action and co-management.the results need to be documented and the experiences communicated to others who may be in the process of establishing or developing collective action capacity among fishers.",0.314958589552712
"441","collective action and property rights for sustainable development governments around the world increasingly seek to manage their forests with the collaboration of the people living nearby. ministries of forestry or their equivalents usually do this by offering local people access to selected forest products or forest land, income from forest resources, or opportunities for communicating with government forestry officials. in return, the agency obliges local people to cooperate in managing the forests around them by protecting existing forest or by planting trees. governments claim that the programs devolve control over forests to local people and provide more secure livelihoods, as well as help maintain and regenerate forests. by sharing rights among local groups and the state, the programs also help to reconcile the resource claims of local people with those of the national government. everybody supposedly wins.","Collective action for sustainable development","8","17","en","Collective action and property rights for sustainable development governments around the world increasingly seek to manage their forests with the collaboration of the people living nearby. Ministries of forestry or their equivalents usually do this by offering local people access to selected forest products or forest land, income from forest resources, or opportunities for communicating with government forestry officials. In return, the agency obliges local people to cooperate in managing the forests around them by protecting existing forest or by planting trees. Governments claim that the programs devolve control over forests to local people and provide more secure livelihoods, as well as help maintain and regenerate forests. By sharing rights among local groups and the state, the programs also help to reconcile the resource claims of local people with those of the national government. Everybody supposedly wins.",0.381207488082213
"551","millions of the rural poor now participate in collaborative forest management schemes under a variety of triennial and organizational arrangements.we examine those arrangements and ask whether local people have indeed gained more access to benefits from and control over forests. our findings suggest that most co management projects actually maintain and even extend central government control.where communities had already managed forests in satori and astrakhan in india, the government required that they share their incomes with the state forest department. governments in many countries typically predetermine which species can be planted in reforestation or agroforestry schemes and what types of organizations can be given rights to manage forests.whereas local people have gained greater legal access to forests and some might have increased their incomes, many have also lost out. for example, game areas and plantations have been frequently established on land used by poorer members of communities for grazing or cultivation. local people have also not shown a consistent interest in forest management.","Collective action for sustainable development","8","17","en","Millions of the rural poor now participate in collaborative forest management schemes under a variety of triennial and organizational arrangements.we examine those arrangements and ask whether local people have indeed gained more access to benefits from and control over forests. Our findings suggest that most co-management projects actually maintain and even extend central government control.where communities had already managed forests in satori and astrakhan in india, the government required that they share their incomes with the state forest department. Governments in many countries typically predetermine which species can be planted in reforestation or agroforestry schemes and what types of organizations can be given rights to manage forests.whereas local people have gained greater legal access to forests and some might have increased their incomes, many have also lost out. For example, game areas and plantations have been frequently established on land used by poorer members of communities for grazing or cultivation. Local people have also not shown a consistent interest in forest management.",0.37804627857813
"751","collaborative management or co management forest programs have had a huge impact. in india, more than 6 3,00 0 groups have enrolled in joint forest management programs to regenerate 1 4 million hectares. in nepal, 9,00 0 forest user groups are trying to regenerate 70 0,00 0 hectares of forest. in brazil, farmers help to manage 2.2 million hectares as extractive reserves. half the districts in zimbabwe participate in  schemes, in which local communities can share revenues gained from tourist use of wildlife areas.these programs have generally helped to protect forests and improve access rights of the rural poor to forest resources but have often fallen short of their potential to significantly improve the livelihoods of the poor.","Collective action for sustainable development","8","17","en","Collaborative management or co-management forest programs have had a huge impact. In india, more than 63,000 groups have enrolled in joint forest management programs to regenerate 14 million hectares. In nepal, 9,000 forest user groups are trying to regenerate 700,000 hectares of forest. In brazil, farmers help to manage 2.2 million hectares as extractive reserves. Half the districts in zimbabwe participate in  schemes, in which local communities can share revenues gained from tourist use of wildlife areas.these programs have generally helped to protect forests and improve access rights of the rural poor to forest resources but have often fallen short of their potential to significantly improve the livelihoods of the poor.",0.33246647081368
"1021","the organizational arrangements for co management strongly influence how much government agencies can control forest management and outcomes for local people. forestry agencies exert more control over decisions about species selection, harvesting practices, sales, consumption, and the distribution of benefits where they have devolved management to local governments or larger scale organizations. in such cases, the agency interests in timber production, revenue generation, and environmental conservation have often overridden villagers interests in livelihoods.","Collective action for sustainable development","8","17","en","The organizational arrangements for co-management strongly influence how much government agencies can control forest management and outcomes for local people. Forestry agencies exert more control over decisions about species selection, harvesting practices, sales, consumption, and the distribution of benefits where they have devolved management to local governments or larger-scale organizations. In such cases, the agency interests in timber production, revenue generation, and environmental conservation have often overridden villagers interests in livelihoods.",0.427458844410645
"1141","forestry agencies exercise control over individuals and village groups as well by making local organizations accountable to the agencies rather than to local stakeholders.the agencies use standardized contractual agreements and regulations that limit local peoples self determination. local people who organize collectively are better able to mobilize resources and negotiate for desired benefits.they are able to exert more influence when they have the direct support of nongovernmental organizations ngos, donors, federations, and other external actors. collective action, both within communities and together with outside groups, thus helps local people become more influential stakeholders in co management arrangements. where local groups have managed their own forests without state intervention, however, they have not necessarily been better off.without government support, they often have had difficulty implementing or enforcing their decisions.","Collective action for sustainable development","8","17","en","Forestry agencies exercise control over individuals and village groups as well by making local organizations accountable to the agencies rather than to local stakeholders.the agencies use standardized contractual agreements and regulations that limit local peoples self-determination. Local people who organize collectively are better able to mobilize resources and negotiate for desired benefits.they are able to exert more influence when they have the direct support of nongovernmental organizations ngos, donors, federations, and other external actors. Collective action, both within communities and together with outside groups, thus helps local people become more influential stakeholders in co-management arrangements. Where local groups have managed their own forests without state intervention, however, they have not necessarily been better off.without government support, they often have had difficulty implementing or enforcing their decisions.",0.404595826371272
"451","collective action and property rights for sustainable development ave rosenberg l.wollenberg@cgiar.org is a scientist at the center for international forestry research cruciform in bogor, indonesia; bruce campbell b.campbell@cgiar.org is the director of the livelihoods programme at cifor; sheena shackleton shackleton@.ru.ac.za is a research associate at rhodes university in grahams town south africa; david edmund edmundsdavid@lycos.com is a lecturer at the university of california, santa cruz, and a research associate at cifor; patricia stanley p.shanley@cgiar.org is a scientist at cifor. forests yield financial benefits, governments often fail to deliver local peoples promised share of incomes or deliver them primarily to local elites. for the poor to benefit substantially from forest access, they need more secure property rights over valuable resources. only rarely have poor communities received substantial financial benefits, such as in botswana where 4 5 families shared about us$12 5,00 0 annually from the chose trust. focusing too narrowly on organizing collective action around managing a single resource such as a forest may divert potentially productive efforts. converting forests to agriculture or other uses or initiating land reform may bring local people greater economic benefits in many areas. forest co management programs are not sufficient to address poverty.","Collective action for sustainable development","8","18","en","Collective action and property rights for sustainable development ave rosenberg l.wollenberg@cgiar.org is a scientist at the center for international forestry research cruciform in bogor, indonesia; bruce campbell b.campbell@cgiar.org is the director of the livelihoods programme at cifor; sheena shackleton shackleton@.ru.ac.za is a research associate at rhodes university in grahams town south africa; david edmund edmundsdavid@lycos.com is a lecturer at the university of california, santa cruz, and a research associate at cifor; patricia stanley p.shanley@cgiar.org is a scientist at cifor. Forests yield financial benefits, governments often fail to deliver local peoples promised share of incomes or deliver them primarily to local elites. For the poor to benefit substantially from forest access, they need more secure property rights over valuable resources. Only rarely have poor communities received substantial financial benefits, such as in botswana where 45 families shared about us$125,000 annually from the chose trust. Focusing too narrowly on organizing collective action around managing a single resource such as a forest may divert potentially productive efforts. Converting forests to agriculture or other uses or initiating land reform may bring local people greater economic benefits in many areas. Forest co-management programs are not sufficient to address poverty.",0.35501459774475
"651","co management has revealed the difficulty of dividing roles, rights, and responsibilities, especially where the groups involved have highly divergent interests. forest agencies have had varying experiences in organizing collective action. romantic ideals about harmonious communities and the local knowledge and capacities of traditional peoples have been counterbalanced by internal conflict and lack of leadership in many communities and the difficulty of organizing collective action where local social capital is weak. increasing competition and fragmentation of forests have led to more de facto privatization of land, making it difficult for communities to organize together around a common resource. many co management efforts rely on outside agents to facilitate collective action, but sustaining that action has proved difficult. other stakeholders, such as local governments or ngos, often create their own sets of incentives or pressures for local people that work against co management initiatives.","Collective action for sustainable development","8","18","en","Co-management has revealed the difficulty of dividing roles, rights, and responsibilities, especially where the groups involved have highly divergent interests. Forest agencies have had varying experiences in organizing collective action. Romantic ideals about harmonious communities and the local knowledge and capacities of traditional peoples have been counterbalanced by internal conflict and lack of leadership in many communities and the difficulty of organizing collective action where local social capital is weak. Increasing competition and fragmentation of forests have led to more de facto privatization of land, making it difficult for communities to organize together around a common resource. Many co-management efforts rely on outside agents to facilitate collective action, but sustaining that action has proved difficult. Other stakeholders, such as local governments or ngos, often create their own sets of incentives or pressures for local people that work against co-management initiatives.",0.446365762131579
"761","forest co management has created a useful institutional entry point. it now seems time to build more actively on the lessons learned. state officials and local people have had different expectations about the process and goals of comanagement. forest departments have controlled the terms of co management and been reluctant to share their benefits. people in forest areas now must achieve the rights and power to bring about a fair division of control, responsibility, and benefits between themselves and the government.","Collective action for sustainable development","8","18","en","Forest co-management has created a useful institutional entry point. It now seems time to build more actively on the lessons learned. State officials and local people have had different expectations about the process and goals of comanagement. Forest departments have controlled the terms of co-management and been reluctant to share their benefits. People in forest areas now must achieve the rights and power to bring about a fair division of control, responsibility, and benefits between themselves and the government.",0.385368822479213
"851","checks and balances need to be in place to ensure that local elites or other groups do not monopolize benefits and decisionmaking.the process should acknowledge the multiple interests among different groups and give special attention to the livelihood needs of the poor. initiatives need to build better on existing management practices and enhance local livelihood options.","Collective action for sustainable development","8","18","en","Checks and balances need to be in place to ensure that local elites or other groups do not monopolize benefits and decisionmaking.the process should acknowledge the multiple interests among different groups and give special attention to the livelihood needs of the poor. Initiatives need to build better on existing management practices and enhance local livelihood options.",0.416995671936619
"1031","the current bureaucratic approaches to co management do not address the complexity of these different needs. frameworks for natural resource management that are developed locally by stakeholders and then linked to national objectives are more flexible and responsive to local interests. in the past it has been difficult for large centralized forest agencies to accommodate local interests, and local groups have had little voice in agency decisionmaking.this is changing as governments decentralize and as the role of ngos increases. choosing the right facilitators and settings for these negotiations is critical for ensuring that the interests of the poor are met. experience suggests that local responsiveness will be higher when institutional arrangements facilitate good communication and learning among stakeholders.the learning process should include both local interest groups and national policymakers to reflect different interests.where forestry incomes are limited and less attractive than incomes from other sustainable land uses and other activities, the rural poor should be encouraged to pursue economic options other than forestry to better meet their needs.","Collective action for sustainable development","8","18","en","The current bureaucratic approaches to co-management do not address the complexity of these different needs. Frameworks for natural resource management that are developed locally by stakeholders and then linked to national objectives are more flexible and responsive to local interests. In the past it has been difficult for large centralized forest agencies to accommodate local interests, and local groups have had little voice in agency decisionmaking.this is changing as governments decentralize and as the role of ngos increases. Choosing the right facilitators and settings for these negotiations is critical for ensuring that the interests of the poor are met. Experience suggests that local responsiveness will be higher when institutional arrangements facilitate good communication and learning among stakeholders.the learning process should include both local interest groups and national policymakers to reflect different interests.where forestry incomes are limited and less attractive than incomes from other sustainable land uses and other activities, the rural poor should be encouraged to pursue economic options other than forestry to better meet their needs.",0.463131351473131
"1151","triggered by past experiences and by the increasing complexity of demands from different interest groups, the co management paradigm is shifting. management increasingly involves not just a local group and the government, but a range of stakeholders, and acknowledges overlapping systems of management and diverse interests.the actors involved have recognized that more emphasis is needed on the institutional and political aspects of management design.thus forest management efforts are focusing on negotiation and on frameworks that emphasize local peoples right to self determination and allow for effective representation of rural poor people in negotiations.the rural poor and their federations and advocates are bringing a new sophistication to negotiations and demanding that their voices be heard. ","Collective action for sustainable development","8","18","en","Triggered by past experiences and by the increasing complexity of demands from different interest groups, the co management paradigm is shifting. Management increasingly involves not just a local group and the government, but a range of stakeholders, and acknowledges overlapping systems of management and diverse interests.the actors involved have recognized that more emphasis is needed on the institutional and political aspects of management design.thus forest management efforts are focusing on negotiation and on frameworks that emphasize local peoples right to self-determination and allow for effective representation of rural poor people in negotiations.the rural poor and their federations and advocates are bringing a new sophistication to negotiations and demanding that their voices be heard.",0.389564861429517
"461","collective action and property rights for sustainable development garret hardens tragedy of the commons theory uses the example of rangelands to argue that when many people have access rights to the same resource, there is a potential for each individual to overuse and underinvest in the resource. this theory has prompted a debate over the effectiveness of common property resource management, especially for rangelands.","Collective action for sustainable development","8","19","en","Collective action and property rights for sustainable development garret hardens tragedy of the commons theory uses the example of rangelands to argue that when many people have access rights to the same resource, there is a potential for each individual to overuse and underinvest in the resource. This theory has prompted a debate over the effectiveness of common property resource management, especially for rangelands.",0.302307344450218
"661"," proponents of state involvement maintain that only an external authority can enforce the best use of, and investment in, common pool natural resources.they argue that the state has greater financial resources with which to make large scale investments and can bear the risk associated with such investments better than community members can. defining the best use rates and investments, however, requires a good deal of information on local conditions. in most cases government agencies responsible for state rangelands have only limited knowledge of gynecological conditions, and even less understanding of local rules of use and management.these information problems increase the costs of enforcing management decisions by government agents. furthermore, in the arid and semi arid regions, flexibility and mobility are valuable strategies for managing spatial and temporal variation in climate. centralized government decisionmaking and enforcement structures are likely to severely reduce this flexibility. finally, collective action is likely to be lower under state tenure because pastoralists may fear that claims on returns to investments they make now on state land will not be recognized in the future.","Collective action for sustainable development","8","19","en","Proponents of state involvement maintain that only an external authority can enforce the best use of, and investment in, common pool natural resources.they argue that the state has greater financial resources with which to make large-scale investments and can bear the risk associated with such investments better than community members can. Defining the best use rates and investments, however, requires a good deal of information on local conditions. In most cases government agencies responsible for state rangelands have only limited knowledge of gynecological conditions, and even less understanding of local rules of use and management.these information problems increase the costs of enforcing management decisions by government agents. Furthermore, in the arid and semi-arid regions, flexibility and mobility are valuable strategies for managing spatial and temporal variation in climate. Centralized government decisionmaking and enforcement structures are likely to severely reduce this flexibility. Finally, collective action is likely to be lower under state tenure because pastoralists may fear that claims on returns to investments they make now on state land will not be recognized in the future.",0.490466197167167
"771","nonetheless, a number of different institutional arrangements have been introduced to manage some of these costs, including the granting of common use rights to communities or cooperatives, grazing licenses, and leaseholds.","Collective action for sustainable development","8","19","en","Nonetheless, a number of different institutional arrangements have been introduced to manage some of these costs, including the granting of common use rights to communities or cooperatives, grazing licenses, and leaseholds.",0.335229992259933
"961","some governments provide tacit recognition of pastoral communities use rights and their potential for informally operating grazing networks.this tacit recognition, however, gives pastoralists only a limited role in management and investment decisions and an even smaller role in deciding on the evolution of property rights. often users do not have the right to reallocate common land to alternative activities like cropping or reserves, a situation that limits the capacity of pastoralists to respond to local conditions. by appropriating pastoral resources and limiting the role of local level pastoral institutions, state ownership has often fostered land use conflicts and the breakdown of collective action within and across pastoral groups. in particular, where the state claimed ownership but expended limited resources to manage rangelands or relied on bureaucrats to implement management schemes without knowledge of local resources and institutions, many land use conflicts have arisen and resources have become degraded.","Collective action for sustainable development","8","19","en","Some governments provide tacit recognition of pastoral communities use rights and their potential for informally operating grazing networks.this tacit recognition, however, gives pastoralists only a limited role in management and investment decisions and an even smaller role in deciding on the evolution of property rights. Often users do not have the right to reallocate common land to alternative activities like cropping or reserves, a situation that limits the capacity of pastoralists to respond to local conditions. By appropriating pastoral resources and limiting the role of local-level pastoral institutions, state ownership has often fostered land use conflicts and the breakdown of collective action within and across pastoral groups. In particular, where the state claimed ownership but expended limited resources to manage rangelands or relied on bureaucrats to implement management schemes without knowledge of local resources and institutions, many land use conflicts have arisen and resources have become degraded.",0.387594429335354
"1161","numerous projects have attempted to reorganize pastoralists into cooperatives with the aim of improving rangeland resources and promoting collective action, but the cooperatives have rarely been effective managers of rangelands. in theory, the state and the local organizations could work together to create and enforce use rules and investment activities, but in practice the costs of negotiating such rules have often been prohibitive. in most west asian countries pastoral cooperatives have mainly been involved in distributing subsidized feeds. in jordan, however, the new herder driven cooperatives, which have management rights granted by the state on their traditional pastures, are getting better range productivity results than state managed reserves, without requiring expensive fencing and guarding.this type of cooperative fosters collective action between members because members are certain to reap the benefits of their investments and control access to improved pastures.there remain, however, concerns about potential conflicts between cooperative members and nonmembers. in the sahel, most of the pastures exclusively used by members of pastoral organizations reverted to common pastures open to all community members at the end of the projects.","Collective action for sustainable development","8","19","en","Numerous projects have attempted to reorganize pastoralists into cooperatives with the aim of improving rangeland resources and promoting collective action, but the cooperatives have rarely been effective managers of rangelands. In theory, the state and the local organizations could work together to create and enforce use rules and investment activities, but in practice the costs of negotiating such rules have often been prohibitive. In most west asian countries pastoral cooperatives have mainly been involved in distributing subsidized feeds. In jordan, however, the new herder-driven cooperatives, which have management rights granted by the state on their traditional pastures, are getting better range productivity results than state-managed reserves, without requiring expensive fencing and guarding.this type of cooperative fosters collective action between members because members are certain to reap the benefits of their investments and control access to improved pastures.there remain, however, concerns about potential conflicts between cooperative members and nonmembers. In the sahel, most of the pastures exclusively used by members of pastoral organizations reverted to common pastures open to all community members at the end of the projects.",0.386743608708072
